created_on,id_steama,amount
2017-10-05 18:37:19+00:00,1474747,300
2017-10-04 15:11:57+00:00,1474786,500
2017-10-04 13:30:29+00:00,1474792,227
2017-10-04 05:51:53+00:00,1474765,200
2017-10-03 17:53:31+00:00,1474718,400
2017-10-03 15:35:02+00:00,1474761,450
2017-10-03 09:30:21+00:00,1472264,2
2017-10-02 15:27:53+00:00,1474757,200
2017-10-02 04:32:45+00:00,1474771,100
2017-10-01 13:21:11+00:00,1474718,180
2017-10-01 07:16:34+00:00,1475377,100
2017-09-29 18:38:29+00:00,1474761,250
2017-09-29 16:10:48+00:00,1472261,230
2017-09-29 15:13:25+00:00,1474747,200
2017-09-28 14:43:24+00:00,1474752,200
2017-09-28 11:21:54+00:00,1474757,100
2017-09-27 17:55:39+00:00,1474727,270
2017-09-27 11:10:57+00:00,1474818,400
2017-09-26 17:06:19+00:00,1475377,100
2017-09-26 07:42:20+00:00,1474754,200
2017-09-26 04:55:13+00:00,1474765,200
2017-09-25 17:59:37+00:00,1474754,35
2017-09-25 16:56:29+00:00,1474770,200
2017-09-25 15:52:47+00:00,1474731,100
2017-09-25 15:51:48+00:00,1474731,100
2017-09-25 15:50:39+00:00,1474731,100
2017-09-25 15:49:44+00:00,1474731,100
2017-09-25 04:53:56+00:00,1474799,500
2017-09-23 19:20:56+00:00,1474718,233
2017-09-23 12:04:57+00:00,1471928,500
2017-09-22 16:37:47+00:00,1474807,250
2017-09-21 09:52:53+00:00,1474761,450
2017-09-21 08:45:17+00:00,1474757,200
2017-09-20 11:49:50+00:00,1474747,300
2017-09-20 05:27:04+00:00,1474765,200
2017-09-20 04:22:27+00:00,1474742,470
2017-09-18 14:01:01+00:00,1474758,500
2017-09-18 04:26:49+00:00,1474752,400
2017-09-16 07:20:16+00:00,1474754,100
2017-09-16 06:36:45+00:00,1474792,370
2017-09-15 12:53:41+00:00,1474795,100
2017-09-13 17:34:58+00:00,1474770,200
2017-09-13 15:59:22+00:00,1474800,1000
2017-09-13 13:19:54+00:00,1474764,300
2017-09-11 09:33:50+00:00,1474761,500
2017-09-11 03:53:57+00:00,1474752,280
2017-09-11 03:53:56+00:00,1474754,100
2017-09-11 03:53:55+00:00,1475378,300
2017-09-11 03:53:53+00:00,1474718,230
2017-09-11 03:53:51+00:00,1474747,200
2017-09-06 16:18:14+00:00,1474770,200
2017-09-06 11:37:09+00:00,1474722,170
2017-09-06 11:37:08+00:00,1474818,500
2017-09-06 11:37:07+00:00,1474711,50
2017-09-05 07:31:56+00:00,1475377,220
2017-09-05 07:31:55+00:00,1474738,450
2017-09-04 06:15:39+00:00,1474771,170
2017-09-04 06:15:38+00:00,1474756,1000
2017-09-04 06:15:37+00:00,1474734,210
2017-09-04 06:15:36+00:00,1474815,80
2017-09-04 06:15:35+00:00,1474815,20
2017-09-04 06:15:34+00:00,1474802,150
2017-09-04 06:15:33+00:00,1474754,100
2017-09-04 06:15:32+00:00,1474761,450
2017-08-30 09:59:41+00:00,1474754,100
2017-08-29 07:21:19+00:00,1474761,350
2017-08-29 07:21:18+00:00,1474765,200
2017-08-28 15:03:01+00:00,1474757,200
2017-08-28 07:40:26+00:00,1471927,200
2017-08-28 07:40:25+00:00,1472261,300
2017-08-28 07:40:24+00:00,1474718,200
2017-08-28 07:40:23+00:00,1474818,500
2017-08-23 06:44:47+00:00,1474792,280
2017-08-22 14:43:44+00:00,1474757,200
2017-08-22 13:23:51+00:00,1474711,50
2017-08-21 10:09:01+00:00,1474761,300
2017-08-21 10:09:00+00:00,1474741,50
2017-08-20 19:00:00+00:00,1474741,50
2017-08-17 16:00:00+00:00,1474802,200
2017-08-17 08:00:00+00:00,1474719,300
2017-08-16 17:00:00+00:00,1474718,200
2017-08-14 14:00:00+00:00,1474765,200
2017-08-14 13:00:00+00:00,1474795,100
2017-08-14 12:00:00+00:00,1474757,200
2017-08-12 10:00:00+00:00,1474751,500
2017-08-12 06:00:00+00:00,1474795,170
2017-08-09 14:00:00+00:00,1474765,300
2017-08-09 07:00:00+00:00,1474754,500
2017-08-08 10:00:00+00:00,1474711,50
2017-08-08 04:00:00+00:00,1474818,200
2017-08-07 17:00:00+00:00,1474757,500
2017-08-07 06:00:00+00:00,1474818,500
2017-08-06 06:00:00+00:00,1474752,300